dev,alg,reps,n,bs,q,lr,t,q/s,ns/q,construction,outbuffer,tempbffer
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,512,0,67108864,-1,0.251059,8553685842.280686,0.116909,0.000000,0.002048,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,512,0,67108864,-1,0.251361,8543410963.693072,0.117049,0.000000,0.002048,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,512,0,67108864,-1,0.252219,8514372652.763120,0.117448,0.000000,0.002048,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,512,0,67108864,-1,0.251595,8535490105.643160,0.117158,0.000000,0.002048,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1024,0,67108864,-1,0.592072,3627064153.207615,0.275705,0.000000,0.004096,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1024,0,67108864,-1,0.590686,3635578079.509657,0.275059,0.000000,0.004096,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1024,0,67108864,-1,0.592689,3623287914.554580,0.275992,0.000000,0.004096,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1024,0,67108864,-1,0.592838,3622379952.673176,0.276062,0.000000,0.004096,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1024,0,67108864,-1,0.592359,3625310267.990479,0.275838,0.000000,0.004096,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1024,0,67108864,-1,0.595217,3607897554.269603,0.277170,0.000000,0.004096,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1024,0,67108864,-1,0.594314,3613384301.481067,0.276749,0.000000,0.004096,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1024,0,67108864,-1,0.595094,3608645775.104689,0.277112,0.000000,0.004096,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1024,0,67108864,-1,0.595338,3607168504.046847,0.277226,0.000000,0.004096,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1024,0,67108864,-1,0.592652,3623512923.698486,0.275975,0.000000,0.004096,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1024,0,67108864,-1,0.592763,3622838726.158134,0.276027,0.000000,0.004096,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1024,0,67108864,-1,0.594541,3612002151.413192,0.276855,0.000000,0.004096,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1024,0,67108864,-1,0.594242,3613820755.280140,0.276715,0.000000,0.004096,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1024,0,67108864,-1,0.595722,3604844613.294958,0.277404,0.000000,0.004096,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1024,0,67108864,-1,0.592806,3622571280.659922,0.276047,0.000000,0.004096,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,1024,0,67108864,-1,0.595689,3605043327.772270,0.277389,0.000000,0.004096,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,2048,0,67108864,-1,1.443712,1487473423.439516,0.672281,0.000000,0.008192,0.000000
NVIDIA RTX 6000 Ada Generation,[GPU] BASE,32,2048,0,67108864,-1,1.444251,1486918479.780210,0.672532,0.000000,0.008192,0.000000
